name,firstReleaseDate,topCriticScore
Uncharted 4: A Thief's End,2016-05-10,93
INSIDE,2016-06-29,91
Forza Horizon 3,2016-09-27,91
Overwatch,2016-05-24,90
Dark Souls III,2016-04-12,90
Stardew Valley,2016-02-26,89
The House in Fata Morgana,2016-05-13,89
Sid Meier's Civilization VI,2016-10-21,89
World of Warcraft: Legion,2016-08-30,89
Stephen's Sausage Roll,2016-04-18,89
Ori and the Blind Forest: Definitive Edition,2016-03-11,88
Odin Sphere Leifthrasir,2016-06-07,88
Super Mario Odyssey,2017-10-27,97
The Legend of Zelda: Breath of the Wild,2017-03-03,96
Persona 5,2017-04-04,94
Divinity: Original Sin 2,2017-09-14,93
Minecraft,2017-09-20,90
Hollow Knight,2017-02-24,90
Paradigm,2017-04-05,89
Nier: Automata,2017-03-07,89
Horizon Zero Dawn,2017-02-28,89
DUSK,2017-10-31,89
What Remains of Edith Finch,2017-04-25,88
Cuphead,2017-09-29,88
Red Dead Redemption 2,2018-10-26,96
God of War,2018-04-20,94
Super Smash Bros. Ultimate,2018-12-07,92
Forza Horizon 4,2018-10-02,92
Celeste,2018-01-25,92
Monster Hunter World,2018-01-26,90
Tetris Effect,2018-11-09,90
Return of the Obra Dinn,2018-10-18,89
Dead Cells,2018-08-07,89
Astro Bot Rescue Mission,2018-10-02,89
Pillars of Eternity II: Deadfire,2018-05-08,89
TowerFall,2018-09-27,88
Resident Evil 2,2019-01-25,92
Disco Elysium,2019-10-15,92
Sekiro: Shadows Die Twice,2019-03-22,90
Slay The Spire,2019-01-23,89
Asgard's Wrath,2019-10-09,89
Fire Emblem: Three Houses,2019-07-26,89
Devil May Cry 5,2019-03-08,88
Super Mario Maker 2,2019-06-28,88
Unity of Command 2,2019-11-12,87
Astral Chain,2019-08-30,87
Pistol Whip,2019-11-07,87
Rolling Gunner,2019-06-20,87
Hades,2020-09-17,94
The Last of Us Part II,2020-06-19,93
Half-Life: Alyx,2020-03-23,93
Demon's Souls (2020 Remake),2020-11-12,92
Microsoft Flight Simulator,2020-08-18,92
Ori and the Will of the Wisps,2020-03-11,90
Dreams,2020-02-14,90
Animal Crossing: New Horizons,2020-03-20,90
Crusader Kings III,2020-09-01,90
DOOM Eternal,2020-03-20,89
Until You Fall,2020-09-29,89
Final Fantasy VII Remake,2020-04-10,88
Forza Horizon 5,2021-11-09,92
Bustafellows,2021-07-30,89
Ratchet & Clank: Rift Apart,2021-06-11,89
Psychonauts 2,2021-08-25,89
It Takes Two,2021-03-26,88
Death's Door,2021-07-20,88
Overboard!,2021-06-02,88
Monster Hunter Rise,2021-03-26,88
Deathloop,2021-09-14,88
Vampire Survivors,2021-12-17,88
Chicory: A Colorful Tale,2021-06-10,88
Metroid Dread,2021-10-08,87
Elden Ring,2022-02-25,95
God of War Ragnarök,2022-11-09,94
NORCO,2022-03-25,91
Freshly Frosted,2022-06-10,91
Neon White,2022-06-15,89
Not For Broadcast,2022-01-25,89
HYPER DEMON,2022-09-19,89
Rogue Legacy 2,2022-04-28,89
The Case of the Golden Idol,2022-10-13,88
Immortality,2022-08-30,88
Horizon Forbidden West,2022-02-18,88
Xenoblade Chronicles 3,2022-07-29,88
